bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3977,6537,0,1,1,0.958976,-1.53311,-0.00266,-0.00098,0,0,35,35,0,0,0,0,0,0,0,0,0,1,0,0,1
3978,6541,0,1,2,0.973024,-1.38662,0,0,0.02751,0.01208,10,10.5,2.47,-2.47,0,0,0,0,0,2.751,1.208,1,1,0,0
3979,6556,0,1,2,0.949621,2.86912,0,0,0.38144,-0.06078,10,10.5,49.58,-49.58,0,0,0,9.971,2.869,38.144,-6.078,1,2,0,0
3980,6557,0,1,2,0.945038,5.69484,0,0,0.37687,-0.03904,10,10.5,24.79,-24.79,0,0,0,9.923,5.695,37.687,-3.904,1,1,0,0
3981,6575,0,1,2,0.962805,-3.81104,0,0,0.14577,0.07088,10,10.5,6.25,-6.25,0,0,0,10.109,0,14.577,7.088,1,1,0,0
3982,6588,0,1,2,0.956496,-16.6399,0,0,0.15854,0.04664,10,10.5,3.18,-3.18,0,0,0,0,0,15.854,4.664,1,1,0,0
3983,6587,0,1,2,0.955624,-16.736,0,0,0.13818,0.03535,10,10.5,3.18,-3.18,0,0,0,0,0,13.818,3.535,1,1,0,0
3984,6593,0,1,2,1.04449,-5.77883,0,0,0.12,-0.0158,10,10.5,6,-6,0,0,0,10.967,0,12,-1.58,1,2,0,0
3985,6596,0,1,2,0.988862,-3.40167,0,0,0.3855,-0.06766,10,10.5,6.7,-6.7,0,0,0,10.383,0,38.55,-6.766,1,1,0,0
3986,6621,0,1,2,1.02187,2.8131,0,0,0.02527,0.00177,10,10.5,3.1,-3.1,0,0,0,10.73,2.813,2.527,0.177,1,1,0,0
3987,691_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3988,6623,0,1,1,0.966659,-19.6609,1.51906,0.37261,0,0,110,115,0,0,0,0,0,0,0,0,0,1,0,0,1
3989,6625,0,1,1,0.930788,-20.2834,0.00118,-0.10506,0,0,10,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
3990,693_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3991,1698,0,1,1,0.849449,-2.02539,0,0,0,0,35,35,0,0,0,-2.4,0,31.854,0,0,0,1,0,4,0
3992,6645,0,1,2,0.959285,3.30781,0,0,0.29297,0.00599,10,10.5,39.44,-39.44,0,0,0,10.072,3.308,29.297,0.599,1,2,0,0
