tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
38,60,莆田.渭彩线,1,1,0,0.000600,0.005566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.260000,0.000000,33.060001,-4.020000,0.000000
61,28,莆田.墩庄线,1,1,0,0.005331,0.030057,0.227782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.459999,-13.900000,-38.000000,-31.000000,0.000000
62,63,莆田.墩南线,1,1,0,0.023061,0.092245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.030000,0.000000,0.000000,0.000000
62,64,莆田.后墩线,1,1,0,0.004286,0.017143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.000000,-0.430000,6.470000,0.150000,0.000000
65,1,莆田.坪东线,1,1,0,0.006465,0.029452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.570000,-2.500000,-0.570000,0.000000
66,67,莆田.官秋线,1,1,0,0.011267,0.047259,0.000050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.100000,0.090000,-26.100000,-0.640000,0.000000
47,60,莆田.厚彩线,1,1,0,0.000578,0.005582,0.000064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.459999,-2.460000,-55.169998,-1.340000,0.000000
41,55,莆田.惠宅线,1,1,0,0.000189,0.000945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,3.100000,57.299999,0.800000,0.000000
38,41,莆田.渭梧Ⅰ路,1,1,0,0.000458,0.001834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
38,41,莆田.渭梧Ⅱ路,1,1,0,0.000510,0.002042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
55,41,莆田.宅耕线,1,1,0,0.000019,0.000189,0.000132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.200000,0.500000,-0.000000,1.700000,0.000000
16,41,莆田.盖长线,1,1,0,0.008204,0.050567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.410000,-16.920000,-0.500000,13.900000,0.000000
68,34,莆田.石月线,1,1,0,0.006545,0.026179,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.410000,0.000000,0.000000,0.000000
1,69,莆田.东中线,1,1,0,0.000100,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.220000,-0.600000,0.000000,0.000000,0.000000
70,51,莆田.田湄Ⅰ路,1,1,0,0.003911,0.015645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.740000,0.000000,4.000000,-5.300000,0.000000
9,71,莆田.盖塘线,1,1,0,0.003844,0.015377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.100000,4.460000,-27.020000,-4.790000,0.000000
